Algoritmo,Cores,NomeCompleto,N,duration,time_seq,time_ideal,Overhead_Time,Overhead_Pct,Wasted_Work,Overhead_Formula
Distribuido,2,Distribuido (2 Nós),16,0.016989999999999998,0.00768867999998685,0.003844339999993425,0.013145660000006573,77.37292525018584,0.026291320000013146,3.4194842287698424
Distribuido,2,Distribuido (2 Nós),32,0.10728,0.05032345999999558,0.02516172999999779,0.08211827000000221,76.54574011931601,0.16423654000000443,3.263617803704651
Distribuido,2,Distribuido (2 Nós),64,0.79116,0.4046498799999938,0.2023249399999969,0.5888350600000031,74.42679862480448,1.1776701200000061,2.9103434307209586
Distribuido,2,Distribuido (2 Nós),128,40.96654,2.98104166,1.49052083,39.47601917,96.3616140635748,78.95203834,26.484714856349914
Distribuido,2,Distribuido (2 Nós),256,503.69503999999995,29.926211840000008,14.963105920000004,488.73193408,97.02933228804477,977.46386816,32.66246571353548
Distribuido,4,Distribuido (4 Nós),16,0.01758877780000171,0.00768867999998685,0.0019221699999967124,0.015666607800005,89.07161133164963,0.06266643120002,8.15047982230073
Distribuido,4,Distribuido (4 Nós),32,0.06456469700000293,0.05032345999999558,0.012580864999998895,0.05198383200000404,80.5143281319847,0.20793532800001616,4.131975980984503
Distribuido,4,Distribuido (4 Nós),64,0.4435522803000012,0.4046498799999938,0.10116246999999845,0.34238981030000276,77.19266149830723,1.369559241200011,3.3845536818150843
Distribuido,4,Distribuido (4 Nós),128,22.272146989499998,2.98104166,0.745260415,21.526886574499997,96.65384565147066,86.10754629799999,28.885052984465837
Distribuido,4,Distribuido (4 Nós),256,324.88389426900005,29.926211840000008,7.481552960000002,317.40234130900006,97.6971610190669,1269.6093652360003,42.424660094767276
Distribuido,8,Distribuido (8 Nós),16,0.021064357000000138,0.00768867999998685,0.0009610849999983562,0.02010327200000178,95.43738743129757,0.16082617600001425,20.91726746337334
Distribuido,8,Distribuido (8 Nós),32,0.02937495820000175,0.05032345999999558,0.0062904324999994475,0.023084525700002304,78.58573123008198,0.18467620560001843,3.6697835482702232
Distribuido,8,Distribuido (8 Nós),64,0.13231378380000075,0.4046498799999938,0.050581234999999225,0.08173254880000153,61.771756843976725,0.6538603904000122,1.6158670068060375
Distribuido,8,Distribuido (8 Nós),128,1.0205081721,2.98104166,0.3726302075,0.6478779646,63.48581837093944,5.1830237168,1.7386619537547827
Distribuido,8,Distribuido (8 Nós),256,93.99577030190001,29.926211840000008,3.740776480000001,90.2549938219,96.0202714781897,722.0399505752,24.127342091794798
Paralelo,2,Paralelo (2 Cores),16,0.01894758999999335,0.00768867999998685,0.003844339999993425,0.015103249999999924,79.71066505030574,0.030206499999999848,3.928697773876857
Paralelo,2,Paralelo (2 Cores),32,0.030137709999996744,0.05032345999999558,0.02516172999999779,0.004975979999998954,16.51080987905017,0.009951959999997907,0.1977598519656395
Paralelo,2,Paralelo (2 Cores),64,0.19258509000002275,0.4046498799999938,0.2023249399999969,0.0,0.0,-0.019479699999948308,0.0
Paralelo,2,Paralelo (2 Cores),128,1.5701562700000067,2.98104166,1.49052083,0.07963544000000677,5.071816195722126,0.15927088000001355,0.05342792827659227
Paralelo,2,Paralelo (2 Cores),256,15.126450190000014,29.926211840000008,14.963105920000004,0.16334427000001028,1.0798585785050612,0.32668854000002057,0.010916468203414966
Paralelo,4,Paralelo (4 Cores),16,0.016180179999992057,0.00768867999998685,0.0019221699999967124,0.014258009999995346,88.12021868732205,0.05703203999998138,7.417663370055578
Paralelo,4,Paralelo (4 Cores),32,0.01940798000001674,0.05032345999999558,0.012580864999998895,0.006827115000017843,35.17684478246554,0.027308460000071373,0.5426586327743317
Paralelo,4,Paralelo (4 Cores),64,0.10759952999997038,0.4046498799999938,0.10116246999999845,0.0064370599999719336,5.982423900897806,0.025748239999887734,0.0636309097629984
Paralelo,4,Paralelo (4 Cores),128,0.8153183200000058,2.98104166,0.745260415,0.07005790500000586,8.592705852605565,0.28023162000002344,0.09400459703740721
Paralelo,4,Paralelo (4 Cores),256,6.858157199999971,29.926211840000008,7.481552960000002,0.0,0.0,-2.493583040000125,0.0
Paralelo,8,Paralelo (8 Cores),16,0.02074486000001338,0.00768867999998685,0.0009610849999983562,0.019783775000015023,95.36711744500693,0.15827020000012018,20.584833807674514
Paralelo,8,Paralelo (8 Cores),32,0.01984514999999189,0.05032345999999558,0.0062904324999994475,0.013554717499992444,68.30241897893431,0.10843773999993955,2.1548148716314235
Paralelo,8,Paralelo (8 Cores),64,0.09135703999997982,0.4046498799999938,0.050581234999999225,0.0407758049999806,44.6334568195178,0.3262064399998448,0.8061449072957831
Paralelo,8,Paralelo (8 Cores),128,0.6342912399999477,2.98104166,0.3726302075,0.26166103249994777,41.252506104288834,2.093288259999582,0.7022002704918865
Paralelo,8,Paralelo (8 Cores),256,4.822004370000082,29.926211840000008,3.740776480000001,1.081227890000081,22.422789509003753,8.649823120000647,0.28903835761929314
Sequencial,1,Sequencial,16,0.00768867999998685,0.00768867999998685,0.00768867999998685,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,32,0.05032345999999558,0.05032345999999558,0.05032345999999558,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,64,0.4046498799999938,0.4046498799999938,0.4046498799999938,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,128,2.98104166,2.98104166,2.98104166,0.0,0.0,0.0,0.0
Sequencial,1,Sequencial,256,29.926211840000008,29.926211840000008,29.926211840000008,0.0,0.0,0.0,0.0
